PUL ID,PUL_substrate,Sample ID
PUL0653,galactan,Li32141_S18_Maxbin2out.045
PUL0653,galactan,Li32130_S7_Metabat2_binout.56
PUL0055,alginate,Li32146_S23_Metabat2_binout.6
PUL0155,alginate,Li32144_S21_Metabat2_binout.38
PUL0199,alginate,Li32177_S54_Metabat2_binout.56
PUL0654,alginate,Li32181_S58_Maxbin2out.011
PUL0654,alginate,Li32181_S58_Maxbin2out.011
PUL0654,alginate,Li32137_S14_Metabat2_binout.51
PUL0654,alginate,Li32138_S15_Metabat2_binout.85
PUL0654,alginate,Li32197_S74_Metabat2_binout.84
PUL0654,alginate,Li32144_S21_Metabat2_binout.105
PUL0654,alginate,Li32192_S69_Metabat2_binout.90
PUL0654,alginate,Li32192_S69_Metabat2_binout.90
PUL0654,alginate,Li32152_S29_Metabat2_binout.108
PUL0654,alginate,Li32149_S26_Maxbin2out.036
PUL0654,alginate,Li32164_S41_Metabat2_binout.1
PUL0654,alginate,Li32158_S35_Metabat2_binout.103
PUL0654,alginate,Li32166_S43_Metabat2_binout.54
PUL0654,alginate,Li32146_S23_Metabat2_binout.6
PUL0654,alginate,Li32146_S23_Metabat2_binout.6
PUL0654,alginate,Li32185_S62_Metabat2_binout.13
PUL0122,galactan,Li32144_S21_Metabat2_binout.15
PUL0122,galactan,Li32179_S56_Metabat2_binout.141
PUL0122,galactan,Li32154_S31_Maxbin2out.037
PUL0122,galactan,Li32146_S23_Metabat2_binout.77
PUL0122,galactan,Li32184_S61_Metabat2_binout.66
PUL0122,galactan,Li32136_S13_Metabat2_binout.4
PUL0122,galactan,Li32151_S28_Maxbin2out.081
PUL0122,galactan,Li32135_S12_Metabat2_binout.15
PUL0122,galactan,Li32151_S28_Maxbin2out.012
PUL0122,galactan,Li32189_S66_Metabat2_binout.68
PUL0122,galactan,Li32176_S53_Metabat2_binout.30
PUL0122,galactan,Li32144_S21_Maxbin2out.005
PUL0122,galactan,Li32134_S11_Maxbin2out.052
PUL0122,galactan,Li32130_S7_Metabat2_binout.56
PUL0122,galactan,Li32179_S56_Metabat2_binout.125
PUL0561,galactan,Li32142_S19_Maxbin2out.001
PUL0561,galactan,Li32162_S39_Metabat2_binout.50
PUL0561,galactan,Li32195_S72_Metabat2_binout.19
PUL0561,galactan,Li32150_S27_Metabat2_binout.82
PUL0561,galactan,Li32196_S73_Maxbin2out.046
PUL0561,galactan,Li32196_S73_Maxbin2out.046
PUL0561,galactan,Li32204_S81_Metabat2_binout.103
PUL0561,galactan,Li32157_S34_Metabat2_binout.83
PUL0561,galactan,Li32160_S37_Metabat2_binout.1
PUL0561,galactan,Li32136_S13_Metabat2_binout.42
PUL0561,galactan,Li32143_S20_Metabat2_binout.22
PUL0561,galactan,Li32206_S83_Metabat2_binout.57
PUL0561,galactan,Li32206_S83_Metabat2_binout.124
PUL0561,galactan,Li32183_S60_Metabat2_binout.101
PUL0561,galactan,Li32189_S66_Metabat2_binout.117
PUL0561,galactan,Li32154_S31_Maxbin2out.019
PUL0561,galactan,Li32159_S36_Metabat2_binout.51
PUL0561,galactan,Li32136_S13_Maxbin2out.024
PUL0561,galactan,Li32201_S78_Maxbin2out.041
PUL0561,galactan,Li32164_S41_Maxbin2out.007
PUL0561,galactan,Li32134_S11_Metabat2_binout.53
PUL0561,galactan,Li32176_S53_Metabat2_binout.70
PUL0561,galactan,Li32152_S29_Metabat2_binout.124
PUL0561,galactan,Li32159_S36_Maxbin2out.008
PUL0561,galactan,Li32206_S83_Metabat2_binout.65
PUL0561,galactan,Li32149_S26_Metabat2_binout.114
PUL0561,galactan,Li32153_S30_Metabat2_binout.76
PUL0561,galactan,Li32165_S42_Metabat2_binout.17
PUL0561,galactan,Li32170_S47_Maxbin2out.043
PUL0561,galactan,Li32170_S47_Maxbin2out.043
PUL0561,galactan,Li32170_S47_Metabat2_binout.99
PUL0561,galactan,Li32134_S11_Metabat2_binout.34
PUL0561,galactan,Li32124_S1_Metabat2_binout.46
PUL0561,galactan,Li32172_S49_Metabat2_binout.29
PUL0561,galactan,Li32205_S82_Maxbin2out.020
PUL0561,galactan,Li32179_S56_Metabat2_binout.97
PUL0561,galactan,Li32195_S72_Metabat2_binout.7
PUL0561,galactan,Li32181_S58_Maxbin2out.026
PUL0561,galactan,Li32137_S14_Maxbin2out.008
PUL0561,galactan,Li32205_S82_Metabat2_binout.75
PUL0561,galactan,Li32166_S43_Maxbin2out.026
PUL0236,alpha-glucan,Li32128_S5_Metabat2_binout.98
PUL0236,alpha-glucan,Li32138_S15_Metabat2_binout.85
PUL0236,alpha-glucan,Li32138_S15_Metabat2_binout.85
PUL0236,alpha-glucan,Li32177_S54_Metabat2_binout.56
PUL0236,alpha-glucan,Li32151_S28_Metabat2_binout.121
PUL0454,alpha-glucan,Li32153_S30_Metabat2_binout.63
PUL0454,alpha-glucan,Li32144_S21_Metabat2_binout.15
PUL0454,alpha-glucan,Li32130_S7_Metabat2_binout.24
