Sample.ID,host glycan,fructan
Li32158_S35_Maxbin2out.021,1,0
Li32158_S35_Maxbin2out.022,1,0
Li32158_S35_Metabat2_binout.121,1,0
Li32161_S38_Maxbin2out.038,1,0
Li32161_S38_Metabat2_binout.16,1,0
Li32163_S40_Maxbin2out.037,1,0
Li32165_S42_Metabat2_binout.17,1,0
Li32165_S42_Metabat2_binout.21,1,0
Li32166_S43_Maxbin2out.021,1,0
Li32169_S46_Metabat2_binout.49,1,0
Li32170_S47_Maxbin2out.043,1,0
Li32170_S47_Metabat2_binout.88,1,0
Li32171_S48_Metabat2_binout.2,1,0
Li32171_S48_Metabat2_binout.44,1,0
Li32171_S48_Metabat2_binout.74,1,0
Li32174_S51_Maxbin2out.005,1,0
Li32174_S51_Metabat2_binout.117,1,0
Li32174_S51_Metabat2_binout.40,1,0
Li32176_S53_Metabat2_binout.63,1,0
Li32177_S54_Metabat2_binout.49,1,0
Li32179_S56_Metabat2_binout.141,1,0
Li32184_S61_Metabat2_binout.67,1,0
Li32185_S62_Maxbin2out.017,1,0
Li32185_S62_Metabat2_binout.103,1,0
Li32185_S62_Metabat2_binout.114,1,0
Li32185_S62_Metabat2_binout.64,1,0
Li32187_S64_Metabat2_binout.20,1,0
Li32189_S66_Maxbin2out.010,1,0
Li32189_S66_Metabat2_binout.68,1,0
Li32190_S67_Maxbin2out.058,1,0
Li32191_S68_Maxbin2out.012,1,0
Li32193_S70_Maxbin2out.037,1,0
Li32196_S73_Metabat2_binout.112,1,0
Li32197_S74_Metabat2_binout.119,1,0
Li32198_S75_Metabat2_binout.53,1,0
Li32200_S77_Metabat2_binout.55,1,0
Li32201_S78_Maxbin2out.041,1,0
Li32203_S80_Maxbin2out.007,1,0
Li32203_S80_Metabat2_binout.55,1,0
Li32204_S81_Maxbin2out.010,1,0
Li32205_S82_Metabat2_binout.116,1,0
Li32205_S82_Metabat2_binout.49,1,0
Li32206_S83_Metabat2_binout.109,1,0
Li32206_S83_Metabat2_binout.114,1,0
Li32206_S83_Metabat2_binout.65,1,0
