clade_name,Li32124_S1,Li32125_S2,Li32126_S3,Li32127_S4,Li32128_S5,Li32129_S6,Li32130_S7,Li32131_S8,Li32132_S9,Li32133_S10,Li32134_S11,Li32135_S12,Li32136_S13,Li32137_S14,Li32138_S15,Li32139_S16,Li32140_S17,Li32141_S18,Li32142_S19,Li32143_S20,Li32144_S21,Li32145_S22,Li32146_S23,Li32147_S24,Li32148_S25,Li32149_S26,Li32150_S27,Li32151_S28,Li32152_S29,Li32153_S30,Li32154_S31,Li32155_S32,Li32156_S33,Li32157_S34,Li32158_S35,Li32159_S36,Li32160_S37,Li32161_S38,Li32162_S39,Li32163_S40,Li32164_S41,Li32165_S42,Li32166_S43,Li32167_S44,Li32168_S45,Li32169_S46,Li32170_S47,Li32171_S48,Li32172_S49,Li32173_S50,Li32174_S51,Li32175_S52,Li32176_S53,Li32177_S54,Li32178_S55,Li32179_S56,Li32180_S57,Li32181_S58,Li32182_S59,Li32183_S60,Li32184_S61,Li32185_S62,Li32186_S63,Li32187_S64,Li32188_S65,Li32189_S66,Li32190_S67,Li32191_S68,Li32192_S69,Li32193_S70,Li32194_S71,Li32195_S72,Li32196_S73,Li32197_S74,Li32198_S75,Li32199_S76,Li32200_S77,Li32201_S78,Li32202_S79,Li32203_S80,Li32204_S81,Li32205_S82,Li32206_S83,Li32207_S84
k__Bacteria|p__Firmicutes|c__CFGB9491,0.05347,0,0,0,0,0.06583,0,0.00142,0.00093,0,0,0,0,0,0,0.02346,0.03208,0.02472,0.06304,0.04963,0.01239,0,0,0,0.0466,0.02098,0.0141,0,0,0,0.02312,0.04202,0.01931,0.00051,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02771,0.02028,0.04262,0,0,0,0,0,0,0.0037,0.00518,0.00191,0.00148,0.00794,0.00558,0,0.01534,0.01445,0.00311,0.00449,0.00193,0.02759,0.02756,0.02784,0,0,0,0.01728,0.00815,0,0,0,0,0.01423,0.01148,0.00714,0.00377
k__Bacteria|p__Firmicutes|c__CFGB72939,0.03666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31116,0.18714,0.08938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01257,0.03653,0.01219,0,0.00447,0.0054,0.02732,0.02009,0.10941,0.11205,0.053,0.04376,0,0,0,0,0,0,0,0,0,0.00312,0.01252,0,0
k__Bacteria|p__Firmicutes|c__CFGB3057,0.035,0,0.01531,0.06718,0.02583,0,0.00926,0.0179,0.01609,0,0,0,0.05844,0.05699,0.05746,0.02298,0.36404,0.04438,1.29903,0.89721,1.29761,0.00868,0.01186,0.02445,0.03112,0.03464,0.02192,0.01637,0.00113,0.08194,0.00174,0.00499,0.02249,0.00136,0.00732,0.10377,0,0.00528,0.012,0.00159,0.00689,0.03222,0.06095,0.05449,0,0.01417,0.00702,0.02015,0.01528,0,0.05716,0.00583,0.2545,0.01084,0,0.00492,0,0.00405,0.00798,0.08337,0.23115,0,0.00111,0.0142,0.00567,0,0.00136,0.02295,0.00924,0.00998,0.01857,0.0573,0.02234,0.20418,0.00648,0,0.03161,0.08142,0.01274,0.09264,0.01384,0.15409,0.90688,0.14336
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified,0.01735,0.01638,0.0032,0.01264,0.01834,0.09826,0.00054,0.00893,0.0121,0.08229,0.06463,0.05575,0.05466,0.13052,0.06639,0.0176,0.06391,0,0.00045,0,0,0.01031,0.00437,0.01962,0.01098,0.05786,0.0409,0.01597,0.02503,0.0062,0.06903,0.14568,0.00434,0.03032,0.07026,0.04858,0.01878,0,0,0,0,0.06592,0.07078,0.08147,0.07143,0.04657,0.08978,0.11863,0.10357,0.11321,0.04093,0.08527,0.02105,0.04979,0.01061,0.04232,0.01769,0.02603,0.04304,0.02297,0.01864,0.02816,0,0,0,0.008,0.02321,0,0.01601,0.07026,0.01397,0.06888,0.02199,0.068,0.05447,0.0324,0.03576,0.02333,0.03809,0,0.11197,0.02933,0,0.02034
k__Bacteria|p__Firmicutes|c__CFGB28775,0.01551,0,0.11496,0,0,0,0,0,0,0.22111,0.12025,0.19939,0.0216,0.01419,0.0171,0.04923,0.17936,0.11762,0,0,0,0,0,0,0.03064,0.01331,0.02255,0,0,0,0.11417,0.11714,0.00554,0,0,0,0,0,0,0,0,0,0,0,0.07296,0.02263,0.06321,0,0,0,0.00636,0,0.01058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646,0,0,0,0,8.00E-05,0,0,0,0.07887,0.10815,0,0
k__Bacteria|p__Firmicutes|c__CFGB1126,0.01307,0,0,0.03603,0.00368,0,0,0,0,0,0,0,0.01342,0.01046,0.00213,0.00013,0.00254,0.01041,0.03518,0.00989,0.01306,0.00494,0.00712,0.01044,0,0.00334,0,0.00347,0,0.01047,0,0.00124,0,0,0.00015,0,0,0.00717,0.00246,0.00231,0,0.0036,0.0241,0.00989,0,0,0,0.0086,0.01355,0,0.0191,0.00194,0.00179,0.01065,0.0031,0.05516,0,0.0025,0.00053,0.00147,0.0083,0.00515,0,0.01209,0.0025,0,0,0,0.00491,0.00115,0.00497,0,0,0,0,0,0.00513,0,0.00913,0,0.01512,0.02212,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.00714,0.02419,0,0.01773,0.12753,0.00184,0.19358,5.12635,8.24585,0.00535,0.04164,0.00078,0,0.00082,0,0.12025,0.25268,0.2262,0,0.45803,0.01144,0,0,0.00027,0,0.00151,0,0,0,0.0019,0.293,0.00341,0.00063,0,0,0.07097,0.00147,0.00173,0.14298,0,0,0.0515,0.0665,0.10179,0.95107,0.11243,0.40907,0.15132,0.04269,0,0,0.19094,0.10616,0,0.01874,0.01011,0.00523,0,0.02252,0,0.00151,0,0.006,0.00082,0.00116,0.1083,0.00728,0.46568,0.03644,0.00045,0.00334,0.14341,0.00029,0,0,0.00222,0,0,0.32147,0.42097,16.93175,15.29276,0.00118,0
k__Bacteria|p__Firmicutes|c__Tissierellia,0.00254,0,0,0,0,0,0.19138,0,0,0,0,0,0,0,0,0,0.06526,0,0,0,0.0637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00962,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0.07804,0.29058,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes,0.00071,3.5225,0.11036,0.39543,0.60627,0.00659,0.4007,0.75957,0.756,1.85924,2.50966,2.51103,0.87982,1.30633,0.89765,8.25509,15.37444,6.89843,0.02991,0.31864,0,0,0.00081,0.00162,0.12992,0.20685,0.25527,1.03038,1.662,1.50629,1.97567,1.0661,0.78987,0.6176,0.60052,1.9883,1.5692,4.46345,5.68842,6.35546,7.86097,2.15608,5.24463,4.111,0.42848,0.06211,0.21642,3.99941,2.69176,2.79551,0.40859,0.40474,0.26987,4.00856,2.87726,2.40906,1.27092,2.3523,0.94343,1.59955,2.45869,2.26844,0.29834,0.93719,0.5657,1.42197,1.03173,0.02775,1.10824,1.17639,0.84293,1.09967,0.99521,0.52046,0.31111,0.37759,0.18778,0.11932,0.98306,0.00382,0.84107,0.20459,0.18277,0.00547
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales,17.92827,19.68336,5.46314,7.75304,27.25728,9.63618,26.11581,22.4346,16.15337,43.98378,38.60659,36.50805,42.25638,35.34626,34.31777,11.37242,23.94735,30.40444,1.52018,12.24652,4.19167,17.69346,24.53627,18.09864,3.57399,5.53168,4.34222,9.8957,25.41655,17.50787,22.31638,30.27873,0.34112,1.1502,9.49566,44.03984,65.76863,15.47315,4.91818,30.85216,17.41242,30.12357,10.10702,30.74956,13.625,14.26354,8.7964,11.86984,20.93146,32.68013,4.75861,23.52071,20.92791,11.12764,23.68781,14.41236,16.09411,5.60441,3.20543,42.9365,15.10794,36.16177,0.41171,17.50165,6.17196,8.84952,36.50307,0.05098,22.36634,16.5727,15.91578,34.64553,11.46832,25.99012,10.60322,5.43256,43.41167,37.62281,13.29646,2.40212,5.36141,2.24823,1.81025,30.60571
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified,1.69957,0.15058,1.28224,0.363,0.02034,0,0.17116,0.57049,0.27795,0.2405,0.26481,0.2845,0.81973,0.3379,0.63663,0.37051,0.26258,0.71569,4.78723,1.80067,2.08218,0.24902,0.0128,0.01819,0.18566,0.34451,0.37207,0.08407,0,0,0.34407,1.75499,0.02895,0.39044,0.30764,1.66735,0.51315,0,0,0,0,0.50668,1.47331,1.87286,1.07639,0.42136,2.19854,1.361,0.746,1.64057,0.40151,0.58646,1.49694,0.02101,0.00531,0.02685,0.19043,0.63065,0.57848,0.07689,0.19483,0.02259,0.00589,0.10766,0.05218,0.62702,0.19816,0.19132,0.0662,0.02128,0.06837,0,0,0,0,0,0.02703,0.03415,0.49493,0.0079,0.29606,1.2034,0.22559,0.05493
k__Bacteria|p__Firmicutes|c__CFGB2880|o__OFGB2880,1.24247,0.00235,1.71561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88201,0.70294,0.92858,1.26107,0.86388,1.01402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44782,0.57802,0,0,0,0,0,0.02561
