SampleID,Sample_Name,10-HYDROXYDECANOATE,3-[2-HYDROXYPHENYL]PROPANOATE,3-HYDROXY-3-METHYLGLUTARATE,3-HYDROXYBUTANOIC ACID,3-HYDROXYPHENYLACETATE,4-METHYL-2-OXO-PENTANOIC ACID,4-METHYLCATECHOL,5-OXO-D-PROLINE,6-CARBOXYHEXANOATE,6-DEOXY-L-GALACTOSE,ACETOACETATE,ALLANTOIN,GLUCOSE,ASCORBATE,BENZYL ALCOHOL,CHOLATE,CITRULLINE,CORTICOSTERONE,CORTISOL,CORTISONE,CREATINE,CREATININE,DEOXYCHOLATE,D-GULONIC ACID GAMA-LACTONE,D-SORBITOL,GLUTARATE,GLYCOCHOLATE,GUANOSINE,HIPPURATE,HOMOGENTISATE,HOMOVANILLATE,HYPOXANTHINE,INOSINE,ITACONATE,L-ARGININE,LEUCINE,L-GLUTAMIC ACID,L-GLUTAMINE,L-LYSINE,L-ORNITHINE,L-PROLINE,L-SERINE,L-THREONINE,L-TRYPTOPHAN,L-TYROSINE,L-VALINE,MANNITOL,N6-[DELTA2-ISOPENTENYL]-ADENINE,OLEATE,OMEGA-HYDROXYDODECANOIC ACID,PALMITATE,PHENYLACETALDEHYDE,SUCCINATE,TAURINE,THEOBROMINE,URATE,URIDINE
Li32204_S81,OA45A,160474.27,245632.62,3891864,1390784.5,105224.37,479347.91,74054.55,533093.19,54024.11,2707.46,142809.2,149972.3,21009366,900480,100464.91,54889.77,44587.19,9100.21,4570.23,5230.54,4357.05,30674.98,100648.87,2937.64,28143.88,38346.04,10758.53,232548.08,4451997.5,14821.97,115886.74,454941.91,1394793.62,60017.62,584726,26078.05,24170.46,736215.5,5781.11,148234.67,2102.17,59631.05,69581.82,103619.6,202148.88,6083.23,7180.35,2574.2,124226.1,159873.8,25258.77,33011.62,165841.73,1168281.12,6966778.5,27710310,571642.75
Li32206_S83,OA50A,164133.27,48106.55,4457898,3555543.25,28239.39,838004.69,113016.41,776192.56,66009.55,1371.2,310705.66,66165.16,22598494,1234487.88,159553.77,140685.91,100971.21,17316.49,7528.05,5549.67,10096.67,34888.25,136233.39,2894.51,25006.02,18273.71,0,39032.41,1037648,3868.62,8463.49,393334.59,108988.41,45270.62,665342.5,27925.58,55407.52,874563.06,3384.99,174126.52,2348.5,102375.71,76881.94,60920.22,162240.91,7012.49,6402.58,1723.73,495171,148068.52,33338.94,12024.42,197166.77,983134.94,6675080.5,27325072,913231.75
Li32125_S2,OA01B,251295.45,92912.74,4509517.5,1049056.5,17839.32,757571.31,15294.65,973445.31,31135.18,3094.04,73054.3,71367.81,24305702,1285392.5,17290.54,106318.1,107121.07,22051.1,37481.36,6095.39,15352.32,27290.56,157570.52,1848.48,145094.27,22422.54,70933.97,38859.5,904364.75,10060.11,33137.15,601299.94,424592,6792.56,542493.94,32358.95,42863.54,774207.31,4257.26,160463.83,2757.04,98593.88,92499.3,112856.79,231248.7,8520.83,69808.52,3965.18,235174.39,173004.67,25077.62,14278.38,131459.52,1086182.12,7934474,27453846,571602.31
Li32128_S5,OA04B,231644.67,17422.06,4941931.5,1420086.38,18881.48,737088.25,36952.35,1048354.69,40774.28,1576.51,84137.27,121743.75,26157616,907885,50120.46,71989.23,80093.49,5578.62,7731.66,4623.54,5518.31,26763.55,210754.86,1591.08,198180.94,18585.53,27294.74,63484.57,2178435,31812.82,11231.24,347600.72,618894.62,20033.48,674293.44,49018.56,28659.02,818864.69,5179.51,185226.05,3894.39,84944.41,95436.09,176917.2,381526.59,9971.81,83603.87,3297.74,234586.75,175694.69,15175.88,11174.2,171000.75,867586.75,16115752,25919750,366545.03
Li32131_S8,OA05B,159445.36,49447.79,4497471.5,1020813.69,58990.74,893643,32875.7,1114085.12,30409.98,4259.68,97772.09,102191.43,23606410,932055.94,147727.8,69377.27,116056.49,11590.94,15053.21,2898.79,11990.81,47608.97,415966.97,6190.97,100210.75,36353.53,17886.73,14723,3199602.25,21732.8,20156.95,541239.69,145804.94,12819.1,653309,42830.48,54953.84,860301.44,4270.43,178167.39,3450.86,77179.57,82356.62,167488.98,355558.72,9014.25,31650.1,5077.41,235987.81,101586.62,28289.38,416984.66,229274.98,1439919.38,7802987.5,27564450,492744.28
Li32134_S11,OA06B,131927.17,56714.69,4010449.75,831339.94,35932.47,473152.22,43969.14,876395.25,46022.55,3332.05,67917.03,238158.12,21521564,78306.74,106845.54,54488.59,83614.81,8745.58,5821.26,1973.73,10032.6,22497.15,309739.56,3027.76,33113.51,20392.99,30554.1,44759.03,641340.56,12008.1,27962.21,684052,258090.55,5015.3,567688.94,40801.42,43672.91,688975.31,4270.07,149939.56,3721.47,83074.96,74730.98,111020.3,290688.97,7615.56,11006.73,2530.73,165887.7,78009.34,9024,40749.36,154527.98,1714933.5,6907985.5,24036560,476128.75
Li32137_S14,OA08B,120712.13,251772.52,4705007.5,524548.56,579361.88,604786.75,111635.41,987893.69,101450.45,4327.76,56524.61,178578.52,23925504,494782.59,73861.52,64390.86,72370.02,3648.14,2756.24,2594.31,4995.77,22317.46,171973.3,5797.97,63654.94,17474.49,21321.65,13316.79,7627638,42794.77,86773.21,557051.69,129399.12,11829.33,565682.19,39596.06,50256.75,602169.69,6381.46,138553.48,4884.99,77655.68,118555.04,142761.23,314957.41,8471.37,33435.62,9950.27,88615.46,63724.55,27322.09,22752.87,166373.97,1041525.81,16501400,22474166,307548.41
Li32140_S17,OA09B,86283.95,263900.44,6583530,1485909.38,52238.59,1032180.81,91009.81,891043.25,43797.83,8934.73,201718.92,193204.7,33959648,252754.92,157885.64,216166.12,128997.73,19283.55,0,0,11366.18,77581.79,59038.2,2218.24,150167.94,16226.06,21023.42,178687.69,5216682.5,44516.18,199485.08,242052.27,734399.75,14182.36,762105.31,80739.55,109278.1,592814.5,8656.97,243174.89,4768.09,61282.22,141364.53,97120.16,211014.31,13926.37,77596.4,49106.1,87080.79,32722.92,9669.9,39728.68,274573.41,691735.75,22726192,35644308,352269.03
Li32143_S20,OA10B,177433.95,87461.85,4028445.75,1391616.5,51746.54,788975,54591.14,1191680.12,38028.64,3068.73,88575.6,104914.84,21201434,854152.06,124033.27,73568.37,85943.3,2789.09,2668.04,7047.06,6798.66,37209.63,808375.31,4061.93,117301.13,7413.06,29205.65,20165.24,2464024.25,16865.22,24090.12,661497,125870.88,5509.82,646947.75,43160.9,31322.7,819258.44,7104.8,168672.94,1904.25,82713.15,100544.09,109284.29,273436.66,10127.31,54606.87,6870.9,141537.92,172545.62,13238.7,5821.5,173019.42,1402324.88,21284796,21400918,450357.09
Li32146_S23,OA12B,130798.09,76607.95,4720002,630912.44,44051.29,802745.25,64806.07,976639.25,52665.99,2605.69,115742.54,101880.77,24954546,886084.31,155117.45,38087.79,87485.73,9042.84,5744.2,3078.62,24234.59,26400.21,410546.03,1314.86,39021.34,13350.07,44301.29,47075.43,3734131,24967.59,20339.27,1090321.62,635448.25,21842.57,1059958.12,61703.8,63677.55,671467.25,9408.57,298625.88,5110.67,107110.3,131641.23,128320.16,312548.16,11264.02,10081.3,5608.94,120560.59,105586.81,20886.11,8243.34,130539.6,2099270.75,8529059,26498064,818967.81
