Sample_ID,PUL0253,PUL0366,PUL0392,PUL0585,PUL0638,PUL0639,PUL0649,PUL0651,PUL0019,PUL0196,PUL0371,PUL0518,PUL0189,PUL0323,PUL0633,PUL0179,PUL0619
Prebiotic_M6_OA30,2841325.723,476221.8838,27339.64917,4968.120747,312748.9055,248248.4164,1452.124383,49891.73275,90372.258,24981.46431,15371.81763,60316.60608,3505.368005,15575.61679,24725.05324,140165.3514,7380.949716
Placebo_M0_OA33,507719.2766,233455.8385,79978.57743,5101.443825,441314.1374,262903.0228,9598.579725,51479.15372,68007.24107,36939.62495,5576.506748,4894.276065,46601.19208,9181.470803,29433.90215,47531.59083,47531.59083
Placebo_M3_OA33,757441.8419,212765.8063,56679.15339,3492.628575,412986.9003,226512.3682,11655.61042,44610.42131,51835.5148,37463.73257,6313.712888,4870.191987,22705.20746,8918.002534,29680.11004,7272.328267,7272.328267
Placebo_M6_OA33,849775.4518,420311.6483,19293.7554,5055.697113,633259.0867,484965.5198,44775.46977,68704.69843,32104.79317,70893.37731,7681.448896,6181.655938,7346.023807,34685.1887,5910.013445,4744.448255,4744.448255
Placebo_M0_OA34,717303.6437,44780.78251,40377.16535,57151.75354,159721.6337,25946.61276,8860.968807,81061.64933,56136.36136,23470.53688,9820.846179,18224.1952,20792.67284,8554.50403,9412.097321,0,0
Placebo_M3_OA34,1245640.71,110385.2922,7890.656594,310018.8897,275753.065,68514.52499,44852.11242,150471.7412,176449.467,15396.16591,13510.81054,25463.53692,2811.288662,53925.96452,11542.42692,0,0
Placebo_M6_OA34,1213189.593,243977.7504,29780.03245,100867.5889,331581.1835,239903.3967,1741.226238,145440.3915,33414.52418,42801.31954,8565.330663,32602.04381,13629.54144,17053.46184,5655.967818,0,0
Prebiotic_M0_OA35,1521077.449,474923.2319,4942.291605,1466.008599,842869.6832,638709.0277,2857.236337,39405.87301,65162.79696,92302.42018,3816.536624,241395.8074,0,6445.631339,7459.167515,967.0100037,0
Prebiotic_M3_OA35,1868486.603,181847.887,76858.89241,4450.279369,440240.3049,210908.9489,1661.55521,27551.69215,26010.76448,91378.28872,11076.4941,138092.1369,2461.924247,10977.50235,11049.57979,24039.59729,8422.496139
Prebiotic_M6_OA35,1608868.48,182794.667,50322.22103,23387.14185,520478.5184,225819.5164,1267.683617,26337.97979,36951.38093,92314.70466,14711.4827,122425.0139,2314.77231,14720.06786,20060.27795,149997.4236,1277.379277
Placebo_M0_OA36,648676.782,379231.515,20357.89361,16675.50257,464295.3122,270101.6274,373939.2378,33901.87103,444225.5978,45636.37499,9788.661365,10053.18753,0,129610.7155,58273.555,0,0
Placebo_M3_OA36,1085049.849,320550.9529,18801.81228,4290.049874,148756.2779,92832.58662,37405.83936,20674.48039,158226.9893,11901.28122,13695.74475,745.6671653,0,89413.36457,18026.01475,0,0
Placebo_M6_OA36,1418842.902,940047.1147,15473.39751,30194.51463,1084616.106,820553.2004,539693.9417,33489.68081,542987.9024,114991.3151,4115.471546,11345.67209,0,12597.81035,6637.687603,0,0
Placebo_M0_OA37,997427.7168,221326.7244,20263.73327,7597.067241,368961.9739,165679.9773,17450.8804,60565.91677,135146.964,57451.26959,0,235513.2519,4997.004647,0,11872.38343,0,0
Placebo_M3_OA37,1702254.379,261290.5465,19354.73719,10867.96422,425807.805,216540.4615,12652.20225,85923.58573,161727.5843,74097.50201,0,180096.8828,2592.781739,0,9354.728584,0,0
Placebo_M6_OA37,1431839.834,220919.6655,28312.67979,5483.842459,351504.6022,226940.8597,11658.773,83300.99317,106797.9324,59221.62495,0,132464.5103,3076.126225,0,6200.870953,0,0
Prebiotic_M0_OA39,875231.9718,123798.5722,49060.47224,3949.37836,526964.0827,31017.34007,14043.86936,16351.22621,428509.9336,65749.73415,11535.83658,79343.1005,5664.891457,42110.42935,5252.607126,0,0
Prebiotic_M3_OA39,679213.4159,131482.2724,42538.2575,5418.445897,549997.2534,112882.1843,28799.41745,104873.4316,172574.4012,2655.562821,6328.735665,55837.88333,2765.888011,8472.048781,39130.40867,0,0
Prebiotic_M6_OA39,971836.5201,168617.4091,1048402.944,5543.184958,385889.0013,41256.77541,21471.48772,51628.94467,137986.1089,3301.680848,7320.815069,94476.96486,11180.31538,11588.9133,11091.76137,0,0
Prebiotic_M0_OA40,1104907.056,338335.3122,56726.20392,15167.81499,1183719.373,403269.7364,2151.361743,89129.81061,13492.18822,29011.39857,8815.264541,106442.8045,17511.20773,10494.38394,19048.25345,1906.327951,1906.327951
Prebiotic_M3_OA40,413325.797,270966.4466,27380.00438,6064.410376,612164.7515,367866.0664,3727.013178,114410.421,7609.303458,82620.37093,10138.666,0,9862.309741,12345.46808,32454.04633,2333.349342,2333.349342
Placebo_M0_OA42,766261.6923,56844.99087,85094.12226,3685.14041,233946.0285,20719.30503,12764.43482,43240.43069,30448.45203,4247.761368,19105.58797,20684.71702,16425.75629,34319.05861,14029.27017,27684.10797,27684.10797
Placebo_M3_OA42,911791.2588,45389.4912,89387.92846,5622.021012,114155.4455,15659.09752,15227.5325,22735.08369,15216.18866,11740.63794,9218.766118,3022.108301,13973.28285,24164.97803,17776.7283,41997.53792,41997.53792
Placebo_M0_OA44,1190255.347,404249.8311,22699.67324,132487.0724,662970.6694,315755.931,3490.178853,316811.4724,169144.1198,5343.843954,10172.73582,156287.32,58071.11133,8545.279712,17796.05054,3433.768842,3433.768842
Placebo_M6_OA44,2455485.131,577933.3364,11900.26208,105968.3615,3535120.308,987111.6796,66607.58441,414122.7125,34075.47966,10083.54018,0,18570.8622,10417.12617,0,0,5468.377336,5468.377336
Placebo_M0_OA45,649015.8955,675159.8554,36507.50402,4873.210281,193178.8498,315311.1329,7205.714439,38765.001,152218.7933,25816.75208,10501.20247,0,1412.136402,56612.14159,8746.267687,10383.55003,3920.850679
Placebo_M3_OA45,906817.4061,324246.1031,7081.089381,36099.67173,228044.7022,296976.8136,15202.29209,62413.59919,406437.0866,32357.2114,9917.51662,0,387.0381499,14090.45941,1152.468532,822.8024278,822.8024278
Prebiotic_M0_OA50,488636.4673,75952.84113,17368.42273,21588.75033,592280.6139,23437.42447,12635.40735,41273.91177,258477.0742,16613.04184,9512.058213,13414.77071,406.2217232,397485.369,0,795.634209,795.634209
Prebiotic_M3_OA50,561853.8243,32023.16142,27016.26247,6457.791894,414752.2017,23799.39561,10426.7,160269.2258,161373.7679,16876.69328,14745.64181,0,1044.727892,303285.1714,0,2660.265232,2660.265232
